Questionnaire,Organization Number,Organization Name,City,Country,CDP Region,C40 City,GCoM City,Access,Assessment attachment and/or direct link,Confirm attachment/link provided,Boundary of assessment relative to jurisdiction boundary,Year of publication or approval,Factors considered in assessment,Primary author(s) of assessment,Does the city have adaptation goal(s) and/or an adaptation plan?,Population,Population Year,City Location,Last update
Cities 2022,49327,"City of Providence, RI",Providence,United States of America,United States of America,No,Yes,public,http://www.providenceri.gov/wp-content/uploads/2019/12/Providence-Multi-Hazard-Mitigation-Plan-2019.pdf,The assessment can be accessed (unrestricted) on the link provided,Same - covers entire jurisdiction and nothing else,2019,A process has been established for prioritizing identified hazards; A process has been established to update the assessment at least every five years; Assessment considers nature; Assessment considers vulnerable populations; Identified hazards have been incorporated into the jurisdictions overall risk management framework,Consultant,Adaptation goal(s) and adaptation plan,180609,2020,POINT (-71.4128 41.824),02/17/2023 03:20:42 AM
Cities 2022,54409,City of Espoo,Espoo,Finland,Europe,No,Yes,public,https://www.hsy.fi/globalassets/ilmanlaatu-ja-ilmasto/tiedostot/pks_ilmastonmuutokseen_sopeutumisen_uudet_haasteet.pdf,The assessment can be accessed (unrestricted) on the link provided,"Larger - covers the whole jurisdiction and adjoining areas, please explain additions: Covers all the cities of Helsinki region",2017,Assessment considers nature; Assessment considers transition risks; Assessment considers vulnerable populations,Regional/ state/ provincial government,Adaptation goal(s) and adaptation plan,292796,2021,POINT (24.6559 60.2055),02/17/2023 03:20:42 AM
Cities 2022,831674,Municipality of Amarante,Amarante,Portugal,Europe,No,No,public,http://www.cimtamegaesousa.pt/#/documentacao,The assessment has been attached,"Larger - covers the whole jurisdiction and adjoining areas, please explain additions: Todo o território da Comunidade Intermunicipal do Tâmega e Sousa",2019,A process has been established for prioritizing identified hazards,Question not applicable,Incomplete report,52131,2021,,02/17/2023 03:20:42 AM
Cities 2022,54345,City Government of Davao,Davao,Philippines,Southeast Asia,No,No,public,agriculture.davaocity.gov.ph/index.php/about-us/,The assessment can be accessed (unrestricted) on the link provided,Same - covers entire jurisdiction and nothing else,2018,,,Adaptation goal(s) and adaptation plan,1776949,2020,POINT (125.625 7.07475),02/17/2023 03:20:42 AM
Cities 2022,826207,Junta Intermunicipal de Medio Ambiente Region Valles (JIMAV),JIMAV,Mexico,Latin America,No,Yes,public,https://drive.google.com/drive/folders/1ssmos-Cd5Oztr0zrijJZdjS_CN4hiy7l?usp=sharing,The assessment can be accessed (unrestricted) on the link provided,Same - covers entire jurisdiction and nothing else,2019,A process has been established to update the assessment at least every five years; Assessment considers nature; Assessment considers vulnerable populations,Consultant; Regional/ state/ provincial government,Adaptation goal(s),370687,2015,POINT (-104.367 19.7682),02/17/2023 03:20:42 AM
Cities 2022,2185,Bristol City Council,Bristol,United Kingdom of Great Britain and Northern Ireland,Europe,No,Yes,public,https://www.bristolonecity.com/wp-content/uploads/2020/02/Preliminary-climate-resilience-assessment.pdf,The assessment can be accessed (unrestricted) on the link provided,"Larger - covers the whole jurisdiction and adjoining areas, please explain additions: The primary focus of the assessment is the City of Bristol. However, there is a high-level recognition that Bristol is exposed to climate risks well beyond the city's boundary due to interdependencies e.g. infrastructure, trade etc.",2020,A process has been established for prioritizing identified hazards; Assessment considers nature; Assessment considers vulnerable populations; Assessment considers water security; Assessment includes a high-emissions scenario,Consultant,Adaptation goal(s) and adaptation plan,465900,2020,,02/17/2023 03:20:42 AM
Cities 2022,31180,Región Metropolitana de Santiago,Santiago,Chile,Latin America,Yes,Yes,public,https://santiagoresiliente.cl//wp-content/uploads/2017/03/Estrategia_Santiago_Humano_y_Resiliente.pdf,The assessment can be accessed (unrestricted) on the link provided,Same - covers entire jurisdiction and nothing else,2017,Assessment considers nature; Assessment considers transition risks; Assessment considers vulnerable populations; Assessment considers water security; Assessment includes a high-emissions scenario,Consultant; Dedicated team within jurisdiction,Adaptation goal(s),8310984,2022,POINT (-70.6693 -33.4489),02/17/2023 03:20:42 AM
Cities 2022,43907,"City of Indianapolis, IN",Indianapolis,United States of America,United States of America,No,Yes,public,2018 Marion County MHMP FINAL 07.15.pdf,The assessment has been attached,Same - covers entire jurisdiction and nothing else,2018,A process has been established to update the assessment at least every five years; Assessment considers nature; Assessment considers vulnerable populations; Assessment considers water security; Identified hazards have been incorporated into the jurisdictions overall risk management framework,Consultant,Adaptation goal(s) and adaptation plan,957337,2020,POINT (-86.1785 39.7676),02/17/2023 03:20:42 AM
Cities 2022,44181,Gwangju Metropolitan City,Gwangju-si,Republic of Korea,East Asia,No,Yes,public,"광주광역시 기후변화 리스크 평가.pdf, 광주광역시 기후변화영향 및 취약성 평가.pdf",The assessment has been attached,Same - covers entire jurisdiction and nothing else,2022,A process has been established for prioritizing identified hazards; A process has been established to update the assessment at least every five years; Assessment considers nature; Assessment considers vulnerable populations; Assessment considers water security,Consultant; Relevant department within jurisdiction,Adaptation goal(s) and adaptation plan,1462545,2021,,02/17/2023 03:20:42 AM
Cities 2022,15515,Reading Borough Council,Reading,United Kingdom of Great Britain and Northern Ireland,Europe,No,Yes,public,http://thamesvalleylrf.org.uk/useful-links/publications/risk-register.ashx,The assessment can be accessed (unrestricted) on the link provided,"Larger - covers the whole jurisdiction and adjoining areas, please explain additions: Reading Borough Council works with other local authorities/public services in Berkshire, Buckinghamshire and Oxfordshire via the Thames Valley Local Resilience Forum to produce a Community Risk Register as per the Civil Contingencies Act 2004.",2015,A process has been established for prioritizing identified hazards; A process has been established to update the assessment at least every five years; Assessment considers nature; Assessment considers vulnerable populations; Assessment considers water security; Identified hazards have been incorporated into the jurisdictions overall risk management framework,"Other, please specify: Thames Valley Local Resilience Forum or LRF - a partnership of local authorities and other statutory bodies in the Thames Valley region.",Adaptation goal(s) and adaptation plan,174200,2021,,02/17/2023 03:20:42 AM
Cities 2022,49335,"Metropolitan Government of Nashville and Davidson County, TN",Nashville,United States of America,United States of America,No,Yes,public,MetroMultiHazardMitigationPlan.pdf,The assessment has been attached and can be accessed (unrestricted) on the link provided,Same - covers entire jurisdiction and nothing else,2020,Assessment considers nature; Identified hazards have been incorporated into the jurisdictions overall risk management framework,Relevant department within jurisdiction,Adaptation goal(s),715884,2020,POINT (-86.7816 36.1627),02/17/2023 03:20:42 AM
Cities 2022,866940,Fokoué,,Cameroon,Africa,No,Yes,public,ÉVALUATION DE LA VULNÉRABILITÉ ET DES RISQUES_FOKOUE.pdf,The assessment has been attached,Same - covers entire jurisdiction and nothing else,2021,Identified hazards have been incorporated into the jurisdictions overall risk management framework,,Adaptation plan,34896,2010,,02/17/2023 03:20:42 AM
Cities 2022,826211,Junta Intermunicipal de Medio Ambiente Altos Sur (JIAS),,Mexico,Latin America,No,No,public,INFORME VULNERABILIDAD ANTE CAMBIO CLIMATICO REGIÓN ALTOS SUR.pdf,The assessment has been attached,Same - covers entire jurisdiction and nothing else,2016,Assessment considers transition risks,Question not applicable,Adaptation goal(s),399724,2015,,02/17/2023 03:20:42 AM
Cities 2022,866387,Municipality of Lleida,,Spain,Europe,No,No,public,https://urbanisme.paeria.cat/sostenibilitat/fitxers/clima-i-energia/pla-canvi-climatic-2019_2029,The assessment can be accessed (unrestricted) on the link provided,Same - covers entire jurisdiction and nothing else,2019,A process has been established to update the assessment at least every five years,Question not applicable,Adaptation goal(s) and adaptation plan,140080,2021,POINT (0.62 41.6176),02/17/2023 03:20:42 AM
Cities 2022,13506,Nottingham City Council,Nottingham,United Kingdom of Great Britain and Northern Ireland,Europe,No,Yes,public,https://www.stwater.co.uk/content/dam/stw/about_us/documents/stw-climate-change-adaptation-report-2021.pdf,The assessment can be accessed (unrestricted) on the link provided,"Larger - covers the whole jurisdiction and adjoining areas, please explain additions: Severn Trent Adaptation Report covers all of Severn Trent's operational area - 9 counties across the heart of the UK.",2021,A process has been established to update the assessment at least every five years; Assessment considers nature; Assessment considers vulnerable populations; Assessment considers water security; Assessment includes a high-emissions scenario; Identified hazards have been incorporated into the jurisdictions overall risk management framework,"Other, please specify: Severn Trent Water",Adaptation goal(s) and adaptation plan,337098,2020,,02/17/2023 03:20:42 AM
Cities 2022,50674,Municipality of Viseu,Viseu,Portugal,Europe,No,Yes,public,EMAAC_VISEU.pdf,The assessment has been attached,"Larger - covers the whole jurisdiction and adjoining areas, please explain additions",2020,,,Adaptation goal(s) and adaptation plan,99561,2021,POINT (-7.91247 40.6566),02/17/2023 03:20:42 AM
